No.Station;Superficie Drainee;Longitude Station;Latitude Station;Longitude Centroide BV;Latitude Centroide BV;Classement
010101;534;-64.53;48.48;-64.75;48.61;3
010802;1906;-65.56;48.19;-65.49;48.54;3
010902;1340;-65.73;48.23;-65.82;48.58;3
011001;1480;-66.19;48.67;-66.46;48.73;4
011002;2400;-65.97;48.32;-66.34;48.66;4
011003;1690;-66.17;48.63;-66.42;48.73;3
011204;1139;-66.35;48.16;-66.53;48.35;3
011508;555;-67.45;48.49;-67.59;48.55;2
011509;2753;-67.13;48.11;-67.35;48.40;1
020301;1090;-64.52;48.77;-65.09;48.74;2
020401;1010;-64.63;48.83;-65.10;48.88;4
020404;647;-64.92;48.81;-65.24;48.90;3
020502;60;-64.43;48.98;-64.46;48.96;3
020601;748;-64.64;48.93;-64.89;49.03;4
020602;626;-64.70;48.98;-64.91;49.04;1
020701;128;-65.15;49.19;-65.15;49.13;4
020802;1200;-65.29;49.20;-65.55;49.02;1
021403;208;-66.13;48.95;-66.10;48.86;4
021405;786;-66.49;49.07;-66.20;48.97;4
021407;772;-66.48;49.04;-66.19;48.96;3
021502;721;-66.67;49.06;-66.72;48.88;3
021601;1655;-67.54;48.77;-67.16;48.70;2
021702;223;-67.67;48.77;-67.72;48.65;3
021915;494;-68.16;48.52;-68.25;48.38;1
021916;99;-68.36;48.42;-68.36;48.34;1
022003;1615;-68.55;48.41;-68.47;48.17;1
022301;930;-69.20;48.09;-69.05;47.94;1
022507;515;-69.64;47.61;-69.64;47.42;3
022513;1042;-69.52;47.82;-69.57;47.53;3
022601;213;-69.85;47.53;-69.81;47.42;1
022704;796;-69.95;47.38;-69.92;47.19;1
023002;61;-70.96;46.71;-70.92;46.67;3
023004;191;-70.90;46.82;-70.94;46.71;3
023005;31;-71.00;46.70;-70.99;46.66;2
023006;21;-70.93;46.69;-70.90;46.65;3
023007;20;-70.91;46.79;-70.88;46.79;3
023101;826;-70.76;46.83;-70.51;46.74;4
023106;821;-70.76;46.82;-70.51;46.74;3
023303;1152;-71.07;46.69;-70.68;46.53;2
023401;708;-71.29;46.66;-71.29;46.47;1
023402;5820;-71.21;46.59;-70.74;45.98;1
023403;1170;-70.79;45.69;-70.88;45.51;4
023421;663;-70.89;46.20;-71.00;46.11;4
023422;696;-70.64;46.17;-70.45;46.26;3
023425;108;-70.39;46.27;-70.34;46.31;4
023426;4090;-70.74;46.20;-70.65;45.86;4
023428;806;-70.53;46.06;-70.43;45.92;4
023429;3085;-70.65;46.10;-70.69;45.75;3
023432;154;-71.34;46.54;-71.24;46.48;3
